No,Kalimat,Deskripsi Topik,Detail Topik,Sentimen,Skor Sentimen
652,tiba ada wa dari pos kalo gabiaa ngirim,Layanan Jasa Kurir Pengiriman,"pos, kirim, via, indonesia, guna",Negatif,0.956
653,suruh ke samsat buat nyetak lembar pajaknya,Perpanjangan STNK 5 Tahunan (Ganti Plat),"stnk, panjang, samsat, ganti, plat",Negatif,0.935
654,hhemm,Topik Tidak Relevan,Tidak Ditemukan,Netral,0.5
655,ruwet emang sistem pajak negara ini,Perbandingan Layanan Online vs. Kantor Samsat,"kantor, samsat, online, daerah, kota",Negatif,0.459
656,bayar pajak semakin asik pake signal masukan untuk pengelola signal tolong perbanyak kerja sama dengan bank swasta maupun bank negara dan platform dompet digital agar transaksi untuk bayar pajak lebih mudah dan bayak pilihan menjadi kepuasan tersendiri,Proses Pengurusan via Aplikasi SIGNAL,"signal, urus, samsat, digital, ambil",Netral,0.753
657,Mantapp App Signal sudah eranya digital,Proses Pengurusan via Aplikasi SIGNAL,"signal, urus, samsat, digital, ambil",Positif,0.982
658,pembayaran pjk tahunan bisa dilakukan dimana saja,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Netral,0.688
659,sangat membantu SIGNAL Terimakasih,Proses Pengurusan via Aplikasi SIGNAL,"signal, urus, samsat, digital, ambil",Positif,0.995
660,Enak banget pake aplikasi ini jadi dipermudah semuanya Tinggal isi data konfirmasi pembayaran langang dikirim deh dokumennya gak perlu pake calo calo lagi lumayan lebih hemat berguna banget untuk anak rantau dan menghemat waktu bangettt Next kalo bisa dibuatin aplikasi untuk perpanjangan tahunan yaaa,Layanan Jasa Kurir Pengiriman,"pos, kirim, via, indonesia, guna",Positif,0.798
661,praktis dan mudah,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.999
662,sangat bermanfaat bagi masyarakat khususnya saya,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Positif,0.803
663,adanya samsat online ini sangat membantu mantaf semoga di tingkat kan lagi yang pajak tahunan nya biar bisa online lagi nosin noka via foto,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.865
664,mantap sangat membantu tdk harus ke samsat,Perbandingan Layanan Online vs. Kantor Samsat,"kantor, samsat, online, daerah, kota",Positif,0.999
665,Ini pertama kalinya pakai aplikasi signal Alhamdulillah lancar saja dan STNK sudah sampai di rumah kurang lebih hari kerja semoga kedepannya bisa lebih baik lagi,Proses Pengurusan via Aplikasi SIGNAL,"signal, urus, samsat, digital, ambil",Positif,0.988
666,Mantap proses gampang,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Positif,0.999
667,tinggal nunggu aslinya di kirim via jasa ke rumah,Layanan Jasa Kurir Pengiriman,"pos, kirim, via, indonesia, guna",Netral,0.938
668,pembayaran susah sinyal bgus tp bufling tolong d update,Layanan Pengiriman STNK ke Rumah,"rumah, langsung, kirim, stnk, samsat",Negatif,0.982
669,proses nya gampang dan cepat,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Positif,0.993
670,Sangat membantu satu hari langsung release tanpa harus datang ke samsat dan kurang dari minggu stnk terbaru sudah sampai dirumah,Layanan Pengiriman STNK ke Rumah,"rumah, langsung, kirim, stnk, samsat",Positif,0.961
671,lambat,Topik Tidak Relevan,Tidak Ditemukan,Negatif,0.933
672,sudah bisa kirim ke alamat rumah kantor tp proses pengirimannya dari samsat lama status update minggu masih pracolecting terus pas sudah dikirim di espedisi POS juga lama,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Negatif,0.985
673,tp mending ini drpd antri di samsat,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Positif,0.913
674,makasih SIGNAL semoga kedepannya makin baik,Proses Pengurusan via Aplikasi SIGNAL,"signal, urus, samsat, digital, ambil",Positif,0.583
675,terimakasih dengan adanya sistem online jadi mempermudah masyarakat untuk membayar pajak cuma harus sabar menunggu hasil pisiknya sekitar sebulan baru smpe rumah tp gpp yg penting sudah terkonfirmasi bahwa kendaraan tersebut sudah membayar pajak,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.969
676,Bagaimana registrasinya jika pemilik kendaraan sudah meninggal sudah coba unggah kutipan akta kematian gagal KTP juga gagal pakai KTP ahli waris gagal apakah harus ubah kepemilikan dulu baru bisa,Rincian Biaya Administrasi dan Transaksi,"kali, daftar, biaya, transaksi, ktp",Negatif,0.875
677,mantap pertama kali mengesahkan stnk lancar sukses terus,Perpanjangan STNK 5 Tahunan (Ganti Plat),"stnk, panjang, samsat, ganti, plat",Positif,0.999
678,klo ada kendala disuruh ke kantor samsat jadi apa fungsi SIGNAL,Proses Pengurusan via Aplikasi SIGNAL,"signal, urus, samsat, digital, ambil",Negatif,0.988
679,Saya mau bayar pajak tahunan dan kirim stnk ke alamat ketika mau bayar lewat Brimo tapi tidak ada pilihan untuk wilayah Lampung,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Negatif,0.936
680,Kenapa ya Dan kritik aplikasi kurang sat set dan kayak setengah pemerintah buat aplikasi ini,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Negatif,0.429
681,sekarang sudah cepat respon transaksi pembayaran,Rincian Biaya Administrasi dan Transaksi,"kali, daftar, biaya, transaksi, ktp",Positif,0.726
682,.langsung diproses,Layanan Pengiriman STNK ke Rumah,"rumah, langsung, kirim, stnk, samsat",Positif,0.594
683,cuma nunggu hari dokumen sudah sanoe di rumah saya,Layanan Pengiriman STNK ke Rumah,"rumah, langsung, kirim, stnk, samsat",Positif,0.66
684,Over all,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.968
685,sudah memudahkan kita dalam pembayaran pajak kendaraan dan terhindar dari pungli oknum oknum yang memanfaatkan ketidak tahuan masyarakat awam Terimakasih tim SIGNAL,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.996
686,Mantap betul,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.969
687,Mantap keren responsif,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.998
688,aplikasi yang sangat membantu dan mudah menggunakannya,Layanan Jasa Kurir Pengiriman,"pos, kirim, via, indonesia, guna",Positif,0.99
689,Hari Senin pembayaran pajak motor tahunan dan hari Rabu sudah di antar ke rumah proses sangat mudah dan cepat terimakasih team signal,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.917
690,jelek gak bisa bayar pajak tahun ini,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Negatif,0.815
691,masuk kan kode pembayaran terus balasan nya ulangi transaksi anda,Rincian Biaya Administrasi dan Transaksi,"kali, daftar, biaya, transaksi, ktp",Negatif,0.719
692,respon dan pengiriman dokumen cepat,Layanan Jasa Kurir Pengiriman,"pos, kirim, via, indonesia, guna",Positif,0.727
693,Status pengiriman sulit dilacak sudah seminggu sejak pembayaran dokumen belum diterima pengiriman via pos indonesia,Layanan Jasa Kurir Pengiriman,"pos, kirim, via, indonesia, guna",Negatif,0.998
694,Harap lebih di perbaiki pelayanan aplikasinya,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Netral,0.717
695,pelayanan nya mudah dan cepat,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Positif,0.998
696,sangat membantu cepat dan lebih menghemat waktu,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.999
697,bayar pajak tahunan jadi lebih mudah sekarang,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.76
698,mudah diakses sangat membantu.kecepatan perlu ditingkatkan,Permintaan Bantuan dan Saran Peningkatan,"bantu, tingkat, proses, samsat, rantau",Netral,0.535
699,sangat membantu buat saya yg suka di luar provinsi,Fitur dan Layanan Bantuan Aplikasi,"bikin, sistem, antar, chat, cek",Netral,0.451
700,sat set gak pk ribed,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Positif,0.995
701,sangat bermanfaat,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.793
702,mantap proses cepat dan sangat simpel,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Positif,1.0
703,terbantu dgn adanya signal,Proses Pengurusan via Aplikasi SIGNAL,"signal, urus, samsat, digital, ambil",Positif,0.97
704,sistem pengirimam eror,Fitur dan Layanan Bantuan Aplikasi,"bikin, sistem, antar, chat, cek",Negatif,0.96
705,trimakasih pemerintah sudah memudahkan kita dalam pembayaran pajak dan meminimalisir pungli,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.999
706,Cepat tanpa ribet lumayan oke,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.997
707,sangat memudahkan,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.811
708,sgt mendukung utk yg pekerja,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.441
709,Sudah Sangat baik,Topik Tidak Relevan,Tidak Ditemukan,Netral,0.877
710,Dipertahankan dan ditingkatkan,Permintaan Bantuan dan Saran Peningkatan,"bantu, tingkat, proses, samsat, rantau",Positif,0.783
711,Mtrnwn,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.607
712,mantap sih ini keren,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.996
713,verifikasi email tidak bisa,Layanan Jasa Kurir Pengiriman,"pos, kirim, via, indonesia, guna",Negatif,0.541
714,CS hanya office hours,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Negatif,0.782
715,seharusnya jam dengan sistem shifting jadi jam berapapun ada kendala bisa langsung di selesaikan,Proses Pengurusan via Aplikasi SIGNAL,"signal, urus, samsat, digital, ambil",Negatif,0.547
716,masa kalah dengan aplikasi swasta,Topik Tidak Relevan,Tidak Ditemukan,Negatif,0.893
717,verifikasi email saja ribet sekali telat masuknya,Layanan Jasa Kurir Pengiriman,"pos, kirim, via, indonesia, guna",Negatif,0.973
718,saya verifikasi dibilang kadarluasa padahal di menit yang sama Saya klik,Layanan Pengiriman STNK ke Rumah,"rumah, langsung, kirim, stnk, samsat",Negatif,0.981
719,payah,Topik Tidak Relevan,Tidak Ditemukan,Negatif,0.701
720,mau verifikasi email tapi nggak ada masuk masuk emailnya gmn mau pakai aplikasinya,Layanan Jasa Kurir Pengiriman,"pos, kirim, via, indonesia, guna",Negatif,0.94
721,sangat membantu ngga perlu antri,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Positif,0.998
722,Sangat membantu bagi yang sibuk dan males antri,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Positif,0.997
723,Puas,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.97
724,Mau bayar Muter terusss,Perbandingan Layanan Online vs. Kantor Samsat,"kantor, samsat, online, daerah, kota",Negatif,0.952
725,kacau gk ada kerjanya,Topik Tidak Relevan,Tidak Ditemukan,Negatif,0.694
726,tolong dipermudah lah Pak Oknum,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.757
727,Cepat di terima,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.978
728,mempermudah mantabbb,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.981
729,Stiker hologramnya belum dikirim,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Negatif,0.961
730,Sangat membantu ya,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.939
731,Semoga semakin berkembang lagi,Rincian Biaya Administrasi dan Transaksi,"kali, daftar, biaya, transaksi, ktp",Netral,0.942
732,sejauh ini bagus tidak ada kendala,Proses Pengurusan via Aplikasi SIGNAL,"signal, urus, samsat, digital, ambil",Positif,0.727
733,semoga kedepan dokumenya bisa diantar melului kantor pos atau ekpedisi lainnya,Layanan Jasa Kurir Pengiriman,"pos, kirim, via, indonesia, guna",Netral,0.962
734,tidak bisa proses pendaftaran,Rincian Biaya Administrasi dan Transaksi,"kali, daftar, biaya, transaksi, ktp",Negatif,0.801
735,lama pengiriman tidak ada info dari aplikasi,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Negatif,0.664
736,Alhamdulillah semenjak menggunakan signal bayar pajak jadi lebih mudah dan bisa di akses di mana saja,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,1.0
737,nggak bisa buka opsi kirim dokumen ke rumah tidak tersedia mulu,Layanan Pengiriman STNK ke Rumah,"rumah, langsung, kirim, stnk, samsat",Negatif,0.928
738,tetep ambil sendiri intuk antk fisikny itu kenapa ya nggak tau erorr atau knpaa,Perbandingan Layanan Online vs. Kantor Samsat,"kantor, samsat, online, daerah, kota",Negatif,0.951
739,sudah bisaaaaa setelah beberapa kali gagal sip lah tapi aku kasih bintang dulu,Rincian Biaya Administrasi dan Transaksi,"kali, daftar, biaya, transaksi, ktp",Negatif,0.658
740,sistem signal lagi ada masalah apa gimana sehingga g bisa lacak paket,Proses Pengurusan via Aplikasi SIGNAL,"signal, urus, samsat, digital, ambil",Netral,0.617
741,pengiriman cepat tp tidak bisa langsung bayar x tunggakan,Layanan Pengiriman STNK ke Rumah,"rumah, langsung, kirim, stnk, samsat",Positif,0.88
742,klo boleh ada pilihan untuk yang ingin bayar langsung tahun atau lebih,Layanan Pengiriman STNK ke Rumah,"rumah, langsung, kirim, stnk, samsat",Netral,0.767
743,ok pengiriman juga cepat sampai rumah,Layanan Pengiriman STNK ke Rumah,"rumah, langsung, kirim, stnk, samsat",Positif,0.931
744,tingkatkan terus untuk kebaikan dan perubahan Indonesia tanpa korupsi,Permintaan Bantuan dan Saran Peningkatan,"bantu, tingkat, proses, samsat, rantau",Netral,0.97
745,praktis sekarang bayar pajak kendaraan cukup online dan STNK dikirim ke alamat rumah,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.924
746,saran nya supaya pengiriman nya lebih cepat lagi hehe dan tracking delivery POS nya update,Layanan Jasa Kurir Pengiriman,"pos, kirim, via, indonesia, guna",Netral,0.91
747,thanks SIGNAL,Proses Pengurusan via Aplikasi SIGNAL,"signal, urus, samsat, digital, ambil",Positif,0.962
748,terima kasih dan tingkatkan lagi,Permintaan Bantuan dan Saran Peningkatan,"bantu, tingkat, proses, samsat, rantau",Positif,0.775
749,cukup baik,Topik Tidak Relevan,Tidak Ditemukan,Netral,0.877
750,Terpercaya dan benar dan sangat membantu dlm hal aktifitas sedang berjln,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.999
751,Kenapa jenis pengiriman nya tidak bisa di klik,Layanan Pengiriman STNK ke Rumah,"rumah, langsung, kirim, stnk, samsat",Negatif,0.979
752,beberapa hari ini kode pembayaran online error,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Negatif,0.973
753,daftar smpai berulang ttp tidak bisa di bayar,Rincian Biaya Administrasi dan Transaksi,"kali, daftar, biaya, transaksi, ktp",Negatif,0.905
754,tolong perbaiki,Topik Tidak Relevan,Tidak Ditemukan,Netral,0.903
755,cepat tanpa ribet,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.98
756,sangat membantu tp utk menu pilihan pengiriman segera diaktifkan biar bisa pengiriman ke alamat wajib pajak,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Negatif,0.461
757,tambahan biayanya besar,Rincian Biaya Administrasi dan Transaksi,"kali, daftar, biaya, transaksi, ktp",Netral,0.551
758,Prosesnya sampai payment nya memang gampang sangat memudahkan tapi untuk diserahkan ke POS nya suangat lamaaaaa berbulan bulan,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Negatif,0.94
759,kalo lama mending jangan di adain online deh khususnya TASIKMALAYA prosesnya sangat lambat sekali,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Negatif,0.858
760,mending nyuruh orang buat perpanjang STNK offline dari pada payment cepet tapi prosesnya berabad abad,Kendala Teknis Aplikasi (Loading),"orang, sibuk, data, bayar, bank",Negatif,0.958
761,Proses cepat aman dan mudah,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Positif,0.997
762,meringankan antrian jarak jauh,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Positif,0.988
763,sangat membantu tidak ribet ngurus SIM,Proses Pengurusan via Aplikasi SIGNAL,"signal, urus, samsat, digital, ambil",Positif,0.991
764,pengiriman agak lama,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Negatif,0.641
765,nunggu agak lama dari tanggal SD tanggal baru sampe tapi memudahkan si ga perlu ke Samsat dirumah aja udah langsung Dateng padahal kirimnya ke beda kabupaten,Layanan Pengiriman STNK ke Rumah,"rumah, langsung, kirim, stnk, samsat",Netral,0.55
766,proses cepat enggak ribet STNK di kirim langsung ke rumah,Layanan Pengiriman STNK ke Rumah,"rumah, langsung, kirim, stnk, samsat",Positif,0.982
767,Alhamdulillah coba bayar pajak tahunan via aplikasi ini berhasil dan mudah,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.979
768,Tekaes,Topik Tidak Relevan,Tidak Ditemukan,Netral,0.504
769,aplikasi sangat bermanfaat bayar pajak gak harus ngantri di lokasi terima kasih,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.992
770,mantaap,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.979
771,mempermudah byr pajak,Perbandingan Layanan Online vs. Kantor Samsat,"kantor, samsat, online, daerah, kota",Positif,0.796
772,sangat memabantu,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.471
773,kalau bisa semua pelayanan publik bisa di akses dan di selesaikan melalui aplikasi saat ini apps signal sudah cukup baik utk pelayanan pembayaran pajak tahunan semoga lebih baik lagi kedepan nya,Proses Pengurusan via Aplikasi SIGNAL,"signal, urus, samsat, digital, ambil",Negatif,0.485
774,SETELAH PEMBAYARAN MAKA AKAN MUNCUL GAMBAR STNK YANG BARU ALANGKAH BAIKNYA BISA DIDOWNLOAD AGAR BISA DI PRINT DALAM GAMBAR KUALITAS HD JELAS TAJAM,Kendala Teknis Aplikasi (Loading),"orang, sibuk, data, bayar, bank",Negatif,0.894
775,memudahkan membayar pajak sangat effisien bagi saya yg bekerja d luar negeri,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.772
776,sngat membantu dn mempermudh plyanan,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.997
777,sangat membantu dalam pembayaran pajak kendaraan,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.952
778,semoga kedepannya dpt sticker hologram buat ditempel dilembar validasi stnk biar gak perlu dateng ke samsat hanya utk sekedar validasi lagi kan udah e samsat masa iya msh harus validasi manual jd rasanya seperti percuma aja byr via e samsat signal cukup sekian terimakasih,Proses Pengurusan via Aplikasi SIGNAL,"signal, urus, samsat, digital, ambil",Netral,0.931
779,good job proses mudah dan cepat,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Positif,1.0
780,cepet prosesnya,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Positif,0.843
781,keren ngak perlu lagi antri di samsat,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Positif,0.999
782,sip ok,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.702
783,sudah kali mengurus STNK secara online Tidak perlu ngantri dan cepat selesai di antar sampai rumah terimakasih,Perpanjangan STNK 5 Tahunan (Ganti Plat),"stnk, panjang, samsat, ganti, plat",Positif,0.999
784,bagus gk pelu repot ngantri,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Positif,1.0
785,sangat membantu pengiriman juga cepat,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Positif,0.98
786,kurang lengkap ya untuk pembayaran pajak sudah di jelas kan tapi untuk plat nomor nya tidak bisa ya tolong bantu ya trimakasih,Perpanjangan STNK 5 Tahunan (Ganti Plat),"stnk, panjang, samsat, ganti, plat",Netral,0.681
787,Alhamdulillah terbantu oleh apps signal,Proses Pengurusan via Aplikasi SIGNAL,"signal, urus, samsat, digital, ambil",Positif,1.0
788,pengiriman lama dri tgl juni padalah pilih pengantaran yg express baru dtg tgl,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Negatif,0.978
789,solusi membayar pajak tanpa antri,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.83
790,proses cepat dan lengkap,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Positif,0.559
791,sangat membantu untuk bayar Pajak yang setahun sekali,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.691
792,semoga kedepannya bisa bayar pajak yang tahun sekali ganti plat,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Netral,0.99
793,terus untuk gesek no rangka di Samsat terdekat,Perpanjangan STNK 5 Tahunan (Ganti Plat),"stnk, panjang, samsat, ganti, plat",Negatif,0.487
794,mempermudah bayar pajak secara online pertahankan kinerja yang baik dan tingkatkan lebih baik lagi,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.974
795,proses cepat sngat membatu orang yg lg diluar daerah bisa byr kpn aja dan dkrim je rumah,Perbandingan Layanan Online vs. Kantor Samsat,"kantor, samsat, online, daerah, kota",Positif,0.986
796,Mau mudah tanpa menghabiskan waktu di Samsat Aplikasi Signal paling tepat,Layanan Pengiriman STNK ke Rumah,"rumah, langsung, kirim, stnk, samsat",Positif,0.499
797,Terlalu mudah utk dipergunakan,Layanan Jasa Kurir Pengiriman,"pos, kirim, via, indonesia, guna",Positif,0.764
798,klw bisa kasih waktunya jangan jam.parah jam mah,Proses Pengurusan via Aplikasi SIGNAL,"signal, urus, samsat, digital, ambil",Netral,0.73
799,aplikasi SIGnal sudah bisa dipakai dg normal tetap jaga kwalitas dan kawantitas,Proses Pengurusan via Aplikasi SIGNAL,"signal, urus, samsat, digital, ambil",Positif,0.403
800,moga dapat layanan cepat ramah dan jelas,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Positif,0.745
801,Pengiriman lama tidak professional,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Negatif,0.848
802,Mudah tidak ribet seperti bayar manual,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.928
803,Error pada saat ngisi jenis pengiriman,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Negatif,0.99
804,bayar pajak tanpa ribet dari rumah aja semoga bayar tahunan juga bisa online sukses signal,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.952
805,Sangat memudahkan di tengah gempuran era modern yang serba sibuk saat ini apalagi bagi pekerja pengusaha karyawan dll cukup dari Rumah atau dari Kantor tempat kerja atau lagi diperjalanan,Kendala Teknis Aplikasi (Loading),"orang, sibuk, data, bayar, bank",Positif,0.911
806,Sehingga tidak takut lagi terlambat bayar pajak kendaraan,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Negatif,0.971
807,saya mau bayar pajak kendaraan bermotor tapi saat pilih metode pembayaran kenapa ya selalu buffering kecepatan internet saya sudah up to mbps apakah masih kurang sudah saya coba berulang ulang dan secara berkala namun tetap sama saja bagaimana solusinya,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Negatif,0.525
808,udah thn perpanjang pajak pake ini mantep proses cepet,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.874
809,Aplikasi gak jelas Gak bisa digunain,Topik Tidak Relevan,Tidak Ditemukan,Negatif,0.972
810,bayar pajak jd praktis,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.976
811,mudah murah cepat,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.971
812,bisa sambiL rebahan,Proses Pengurusan via Aplikasi SIGNAL,"signal, urus, samsat, digital, ambil",Positif,0.848
813,KTP sudah diperbarui jadi seumur hidup,Rincian Biaya Administrasi dan Transaksi,"kali, daftar, biaya, transaksi, ktp",Netral,0.929
814,tapi tetap tidak bisa digunakan,Layanan Jasa Kurir Pengiriman,"pos, kirim, via, indonesia, guna",Netral,0.564
815,katanya gak update datanya,Kendala Teknis Aplikasi (Loading),"orang, sibuk, data, bayar, bank",Netral,0.737
816,disuruh ke kelurahan atau disdukcapil,Perpanjangan STNK 5 Tahunan (Ganti Plat),"stnk, panjang, samsat, ganti, plat",Negatif,0.983
817,masalahnya apa ya,Proses Pengurusan via Aplikasi SIGNAL,"signal, urus, samsat, digital, ambil",Negatif,0.565
818,daftar pengesahan gagal trus,Rincian Biaya Administrasi dan Transaksi,"kali, daftar, biaya, transaksi, ktp",Negatif,0.996
819,Mantap tanpa pungli,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.997
820,dimudahkan dengan aplikasi signal ini klo bisa mah yg tahun jg bisa secara online dan untuk plat nya bisa diambil di samsat domisili terdekat ini untuk kita yg stnk n domisilinya jauh,Perpanjangan STNK 5 Tahunan (Ganti Plat),"stnk, panjang, samsat, ganti, plat",Netral,0.563
821,mohon tingkat kan fitur,Permintaan Bantuan dan Saran Peningkatan,"bantu, tingkat, proses, samsat, rantau",Netral,0.99
822,nungguin verifikasi lama bgt di jam pagi apa iya dI LuAr JAM oPerSiOnAL takut kena scam soalnya udah kirim data,Proses Pengurusan via Aplikasi SIGNAL,"signal, urus, samsat, digital, ambil",Negatif,0.969
823,mantap cepat,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.997
824,mungkin dari cs harus lebih gercep,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Netral,0.628
825,sangat membantu dan memudahkan untuk taat pajak,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.989
826,aplikasi yang sangat membantu,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.927
827,Apps top sangat membantu,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.999
828,saya minta proses dikirim ke alamat ee ujung nya yg elektronik terus itu ongkos kirim dokumen buat apa,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Negatif,0.796
829,gak pake antri gak pake drama top tapi pengiriman lumayan lama,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Positif,0.729
830,semoga bisa di persingkat lagi waktu pengiriman jadi hari sampai,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Netral,0.943
831,sipp,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.702
832,jd gk ngantri lg,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Positif,0.982
833,coba ada aplikasinya yg utk byr th y,Perbandingan Layanan Online vs. Kantor Samsat,"kantor, samsat, online, daerah, kota",Netral,0.918
834,bagus simpel tanpa ribet masukan lebih di tingkatkan untuk waktu pengiriman,Layanan Jasa Kurir Pengiriman,"pos, kirim, via, indonesia, guna",Positif,0.997
835,mudah cepat dan praktis lanjutkan,Permintaan Bantuan dan Saran Peningkatan,"bantu, tingkat, proses, samsat, rantau",Positif,1.0
